snapshot_at,slug,nome,categoria,tipo,alcance,viewability,investimento_minimo,descricao,formatos,segmentacoes,diferenciais
2026-09-15T15:45:58+00:00,99,99,Mobilidade,mobile,+20M usuários BR,86,R$ 8.000,App de transporte com penetração nacional. Complementa Uber no recorte de praça e classe.,"[{""nome"":""Splash Screen"",""chave"":""story-9x16"",""w"":1080,""h"":1920,""label"":""9:16"",""melhor_para"":""abertura"",""dispositivos"":[""mobile"",""app""]},{""nome"":""In-App Ads"",""chave"":""feed-1x1"",""w"":1080,""h"":1080,""label"":""In-app"",""melhor_para"":""durante a corrida"",""dispositivos"":[""mobile"",""app""]},{""nome"":""Cupom no app"",""chave"":""feed-1x1"",""w"":1080,""h"":1080,""label"":""Cupom"",""melhor_para"":""conversão"",""dispositivos"":[""mobile"",""app""]}]","[{""nome"":""Capitais"",""quando"":""complemento da Uber"",""exemplo"":""SP, RJ, BH, Recife""},{""nome"":""Classe e ticket"",""quando"":""cupom nativo"",""exemplo"":""Corrida econômica""},{""nome"":""Horário"",""quando"":""pico urbano"",""exemplo"":""Manhã e fim de expediente""},{""nome"":""Praça forte 99"",""quando"":""não empilhar com Uber"",""exemplo"":""Cidades onde a 99 lidera""}]","[""Forte nas capitais"",""Público complementar à Uber"",""Cupom nativo""]"
2026-09-15T15:45:58+00:00,amazon-music,Amazon Music,Streaming,audio,+8M ouvintes,97,R$ 20.000,Serviço de streaming da Amazon com integração ao ecossistema Prime e dispositivos Alexa.,"[{""nome"":""Audio Ads (spots em streaming)"",""chave"":""audio-bar"",""w"":728,""h"":90,""label"":""15s/30s"",""melhor_para"":""impacto em momentos de escuta em música e áudio premium no tier com anúncios do Amazon Music"",""dispositivos"":[""audio"",""mobile"",""desktop"",""tablet"",""ctv""]},{""nome"":""Podcast Audio Ads"",""chave"":""audio-bar"",""w"":728,""h"":90,""label"":""15s/30s"",""melhor_para"":""mensagens de marca em ambientes de podcast via inventário Amazon Music/Wondery/APD"",""dispositivos"":[""audio"",""mobile"",""desktop"",""tablet""]},{""nome"":""Programmatic 3P Audio (via Amazon DSP)"",""chave"":""audio-bar"",""w"":728,""h"":90,""label"":""Áudio"",""melhor_para"":""escala e frequência em ecossistema de streaming de áudio além do Amazon Music, em compra única"",""dispositivos"":[""audio"",""mobile"",""desktop"",""tablet"",""ctv""]},{""nome"":""Programmatic 3P Audio (APD/Twitch/Spotify/iHeart/SiriusXM)"",""chave"":""audio-bar"",""w"":728,""h"":90,""label"":""Áudio"",""melhor_para"":""escala e frequência em ecossistema de streaming de áudio além do Amazon Music, em compra única"",""dispositivos"":[""audio"",""mobile"",""desktop"",""tablet"",""ctv""]}]","[{""nome"":""Sinal de compra e comportamento em e-commerce Amazon"",""quando"":""campanhas focadas em conversão ou consideração para produtos vendidos na Amazon ou em categorias de varejo"",""exemplo"":""segmentar ouvintes expostos a categorias como eletrônicos, beleza ou supermercado com base em sinais 1st party da Amazon""},{""nome"":""Contexto de audição em música streaming"",""quando"":""posicionamento de marca alinhado a gêneros, moods ou playlists específicos no Amazon Music"",""exemplo"":""campanhas de bem-estar em playlists de relaxamento ou rotinas matinais, usando o tier com anúncios do Amazon Music como contexto de consumo""},{""nome"":""Dispositivo e ambiente (Echo, Fire TV, mobile, desktop)"",""quando"":""mensagens adaptadas ao ambiente de uso (casa, multitarefa, tela ligada ou só áudio)"",""exemplo"":""priorizar inventário em smart speakers Echo para mensagens de rotina doméstica, ou em Fire TV/CTV para campanhas que combinam áudio em telas conectadas""},{""nome"":""Momento de escuta e dia/horário"",""quando"":""campanhas que querem estar presentes em rotinas específicas como commuting, trabalho ou fim de semana"",""exemplo"":""otimizar entrega de spots em horários de pico de escuta, como início da manhã e fim de tarde""},{""nome"":""Segmentação por tipo de conteúdo (música vs. podcasts)"",""quando"":""definir se a mensagem é mais adequada para consumo rápido em música ou aprofundamento em podcasts"",""exemplo"":""usar standard audio para awareness em música e podcast audio ads para storytelling em programas específicos distribuídos via Amazon Music/Wondery""},{""nome"":""Cobertura omnicanal via Amazon DSP"",""quando"":""campanhas que integram áudio a outros formatos (display, vídeo) dentro do stack Amazon Ads"",""exemplo"":""usar audio ads em Amazon Music e 3P streaming combinados a display/vídeo na mesma estratégia de DSP, aplicando as mesmas audiências de Amazon Ads""}]","[""Integração com dados de compra Amazon"",""Ads interativos via Alexa"",""Audiência Prime com alto ticket médio"",""Cross-device com Echo e Fire TV""]"
2026-09-15T15:45:58+00:00,cnn-brasil,CNN Brasil,Portais,portal,+40M pageviews/mês,72,R$ 10.000,Portal de notícias da CNN Brasil com cobertura 24h. Jornalismo de qualidade e credibilidade.,"[{""nome"":""Display Ads"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""cobertura em contexto noticioso no portal CNN Brasil"",""dispositivos"":[""desktop"",""mobile"",""tablet""]},{""nome"":""Video Pre-roll"",""chave"":""ctv-16x9"",""w"":1920,""h"":1080,""label"":""Pre-roll"",""melhor_para"":""campanhas em conteúdos de vídeo on-demand e notícias em vídeo no portal"",""dispositivos"":[""desktop"",""mobile"",""tablet""]},{""nome"":""Branded Content Portal"",""chave"":""linkedin-landscape"",""w"":1200,""h"":627,""label"":""1.91:1"",""melhor_para"":""projetos especiais com narrativa jornalística, séries, webséries e conteúdos patrocinados em verticais temáticas"",""dispositivos"":[""desktop"",""mobile"",""tablet""]},{""nome"":""Native Ads / Conteúdo Patrocinado"",""chave"":""iab-leaderboard"",""w"":728,""h"":90,""label"":""728×90"",""melhor_para"":""integração orgânica em listas, módulos de destaque e áreas de recomendação de conteúdo"",""dispositivos"":[""desktop"",""mobile"",""tablet""]},{""nome"":""Patrocínio de Seções / Verticais"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""associação de marca a temas específicos como economia, tecnologia, política, esportes"",""dispositivos"":[""desktop"",""mobile"",""tablet""]},{""nome"":""Newsletter Ads"",""chave"":""iab-leaderboard"",""w"":728,""h"":90,""label"":""E-mail"",""melhor_para"":""relacionamento recorrente e segmentação de audiência que consome notícias por e-mail"",""dispositivos"":[""desktop"",""mobile""]},{""nome"":""Shoppable Video / Video Interativo"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""campanhas de performance e branding com compra diretamente em vídeo"",""dispositivos"":[""desktop"",""mobile"",""ctv""]}]","[{""nome"":""Contexto de notícia e vertical temática"",""quando"":""campanhas alinhadas a temas específicos como política, economia, tecnologia, esportes ou soft news"",""exemplo"":""marca de tecnologia patrocina série de conteúdos em vertical de inovação e TI no portal, com presença em matérias e especiais.""},{""nome"":""Momento de consumo de notícias em tempo real"",""quando"":""ativação em períodos de alta audiência por breaking news, coberturas especiais e grandes eventos"",""exemplo"":""campanha de serviços financeiros com presença em home e módulos premium durante cobertura ao vivo de decisões econômicas.""},{""nome"":""Segmentação por perfil editorial do portal"",""quando"":""planejamento baseado na audiência qualificada que consome jornalismo de credibilidade"",""exemplo"":""marca premium associa sua comunicação à audiência de notícias de negócios e política, explorando seções de CNN Money e economia.""},{""nome"":""Projetos customizados 1st party (CNN LAB / branded content)"",""quando"":""quando o anunciante precisa de solução sob medida com storytelling e integração a talentos e programas"",""exemplo"":""websérie patrocinada produzida para o portal em parceria com marca de tecnologia, distribuída em hub de conteúdo e redes da CNN.""},{""nome"":""Posicionamento em home e espaços de destaque"",""quando"":""lançamentos, campanhas institucionais ou ações que demandam máxima visibilidade no portal"",""exemplo"":""takeover de home com display premium e módulos nativos em dia específico de campanha nacional.""},{""nome"":""Newsletter e audiência recorrente"",""quando"":""estratégias de frequência e relacionamento com leitores que recebem notícias por e-mail"",""exemplo"":""marca de educação anuncia em newsletter diária de notícias, com destaque em topo e área de recomendação de conteúdo.""},{""nome"":""Integração TV + Digital"",""quando"":""campanhas que combinam presença em TV por assinatura e extensão no portal"",""exemplo"":""patrocínio de quadro na programação da CNN Brasil com continuidade em hub de conteúdos, vídeos e matérias no portal.""},{""nome"":""Dados de navegação e comportamento em portal premium"",""quando"":""otimização de campanhas digitais com base em consumo de páginas, categorias e tipo de conteúdo"",""exemplo"":""segmentação de campanhas de display para usuários que acessam com frequência seções de economia e mercados.""}]","[""Credibilidade jornalística internacional"",""Audiência classe AB (65%)"",""Cobertura 24h de notícias"",""Integração TV + Digital""]"
2026-09-15T15:45:58+00:00,deezer,Deezer,Streaming,audio,+16M ouvintes,96,R$ 10.000,Plataforma de streaming musical com forte presença no Brasil e América Latina. Parceria exclusiva com operadoras de telecom.,"[{""nome"":""Audio Ads"",""chave"":""audio-bar"",""w"":728,""h"":90,""label"":""15s/30s"",""melhor_para"":""mensagem em momentos de escuta com atenção plena"",""dispositivos"":[""audio"",""mobile"",""desktop"",""tablet"",""app""]},{""nome"":""Display Banner"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""reforço visual da campanha de áudio"",""dispositivos"":[""mobile"",""desktop"",""tablet"",""app""]},{""nome"":""Video / Pre-roll"",""chave"":""ctv-16x9"",""w"":1920,""h"":1080,""label"":""Pre-roll"",""melhor_para"":""impacto de marca no início da sessão de escuta"",""dispositivos"":[""mobile"",""desktop"",""tablet"",""app""]},{""nome"":""Sponsored Editorial Playlist"",""chave"":""audio-bar"",""w"":728,""h"":90,""label"":""15s/30s"",""melhor_para"":""associação de marca a playlists curadas de alta afinidade"",""dispositivos"":[""mobile"",""desktop"",""tablet"",""app""]},{""nome"":""Sponsored Session / Escuta Patrocinada"",""chave"":""audio-bar"",""w"":728,""h"":90,""label"":""15s/30s"",""melhor_para"":""gerar percepção de marca generosa oferecendo sessão sem anúncios"",""dispositivos"":[""audio"",""mobile"",""desktop"",""tablet"",""app""]},{""nome"":""Sponsored Track"",""chave"":""audio-bar"",""w"":728,""h"":90,""label"":""15s/30s"",""melhor_para"":""descoberta imediata e aumento de plays de conteúdo específico"",""dispositivos"":[""audio"",""mobile"",""desktop"",""tablet"",""app""]}]","[{""nome"":""Perfil Demográfico"",""quando"":""planejamento e setup de campanha"",""exemplo"":""segmentação por idade e gênero para ajustar criativos a públicos como jovens adultos ou famílias.""},{""nome"":""Geo por País, Região e Cidade"",""quando"":""ativação em mercados ou praças específicas"",""exemplo"":""campanhas focadas em Brasil, com recortes por estados ou grandes capitais para varejo e serviços locais.""},{""nome"":""Interesses Musicais e Afinidade de Gênero"",""quando"":""conteúdo e criação de playlists ou faixas patrocinadas"",""exemplo"":""direcionar anúncios para ouvintes de rock, sertanejo ou eletrônico de acordo com o posicionamento da marca.""},{""nome"":""Contexto de Playlist / Momento de Uso"",""quando"":""estratégias de momento da jornada"",""exemplo"":""ativar campanhas em playlists de treino, trabalho, relax ou festas para alinhar mensagem ao contexto de escuta.""},{""nome"":""Similaridade com Artistas / Conteúdo"",""quando"":""promoção de faixas patrocinadas ou colaborações"",""exemplo"":""boostar uma faixa de artista novo para usuários que escutam artistas semelhantes, aumentando afinidade e conversão.""},{""nome"":""Device Targeting"",""quando"":""definição de formato e criativo"",""exemplo"":""separar estratégias para usuários mobile versus desktop, ajustando duração, call to action e criativos.""},{""nome"":""Momento da Sessão de Escuta"",""quando"":""compra de formatos como pre-roll ou escuta patrocinada"",""exemplo"":""impactar o usuário no início da sessão com pre-roll em vídeo ou oferecer uma sessão sem anúncios após um spot de áudio.""},{""nome"":""First-party Audio Behaviour"",""quando"":""otimização contínua via plataforma parceira"",""exemplo"":""usar padrões de frequência de escuta, horários e tipos de conteúdo para refinar a entrega de campanhas ao longo do tempo.""}]","[""Parceria exclusiva com Vivo, Tim e Claro"",""Audiência com alto poder aquisitivo"",""Flow - algoritmo de recomendação proprietário"",""Forte presença em podcasts brasileiros""]"
2026-09-15T15:45:58+00:00,disney-plus,Disney+,Streaming,ctv,+15M assinantes BR,98,R$ 40.000,"Streaming premium da Disney com conteúdo Marvel, Star Wars, Pixar, National Geographic e Star.","[{""nome"":""Video Ads 15s/30s (pre-roll e mid-roll)"",""chave"":""ctv-16x9"",""w"":1920,""h"":1080,""label"":""16:9"",""melhor_para"":""campanhas em ambiente premium de streaming, em conteúdos on demand e ao vivo"",""dispositivos"":[""ctv""]},{""nome"":""Pause Ads"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""presença de marca no momento em que o usuário pausa o conteúdo, sem interromper a experiência"",""dispositivos"":[""ctv""]},{""nome"":""Pause+ (Billboard / Trivia / Carousel dentro de Pause Ads)"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""experiências interativas de marca durante a pausa, com unidades mais ricas (billboard, trivia, carrossel)"",""dispositivos"":[""ctv""]},{""nome"":""Gateway Go"",""chave"":""ctv-16x9"",""w"":1920,""h"":1080,""label"":""16:9"",""melhor_para"":""ações de performance ou consideração com oferta/lembrança que o usuário pode acionar via clique, QR code ou notificações"",""dispositivos"":[""ctv"",""mobile""]},{""nome"":""Ad Selector"",""chave"":""ctv-16x9"",""w"":1920,""h"":1080,""label"":""16:9"",""melhor_para"":""campanhas focadas em engajamento, permitindo ao usuário escolher qual criativo assistir"",""dispositivos"":[""ctv""]}]","[{""nome"":""Plano Disney+ Padrão com anúncios (assinantes ad-supported)"",""quando"":""ao comprar inventário em vídeo em conteúdos on demand de assinantes do plano com anúncios"",""exemplo"":""segmentar campanhas apenas para quem está no plano Padrão com anúncios, que exibe intervalos comerciais antes e durante a maioria dos filmes e séries.""},{""nome"":""Conteúdos ao vivo e eventos especiais"",""quando"":""em transmissões ao vivo, reprises e eventos especiais dentro do Disney+ que aceitam anúncios em todos os planos"",""exemplo"":""ativar campanhas em conteúdos ao vivo e eventos especiais, com inserções antes/depois da reprodução, patrocínios e placements.""},{""nome"":""Franquias e marcas de conteúdo Disney"",""quando"":""ao planejar campanhas associadas a universos como Marvel, Star Wars, Pixar, National Geographic e Star"",""exemplo"":""comprar pacotes ou posicionamentos em conteúdos de franquias específicas para reforço de afinidade com fãs de Marvel ou Star Wars.""},{""nome"":""Momento de pausa do conteúdo (Pause / Pause+)"",""quando"":""quando o usuário aciona o pause durante um filme ou série"",""exemplo"":""segmentar a entrega de Pause Ads ou Pause+ para impactar o usuário apenas quando ele pausa o conteúdo, aproveitando o momento de atenção estática.""},{""nome"":""Experiências interativas DXC (Gateway Go, Pause+, Ad Selector)"",""quando"":""ao usar formatos avançados que pedem ação do usuário (clique, escolha de criativo, interação com trivia/carrossel)"",""exemplo"":""ativar Gateway Go com ofertas clicáveis ou Ad Selector permitindo ao usuário escolher o filme ou criativo da marca que deseja ver.""},{""nome"":""Promoções e produtos Disney (owned media)"",""quando"":""em campanhas de cross-promo dentro dos próprios planos com ou sem anúncios"",""exemplo"":""usar espaços de promoções e patrocínios para divulgar outros produtos/serviços Disney dentro de Disney+.""}]","[""Conteúdo premium familiar"",""Franquias icônicas (Marvel, Star Wars)"",""Ambiente 100% brand safe"",""Audiência premium engajada""]"
2026-09-15T15:45:58+00:00,eletromidia,Eletromidia,DOOH,ooh,+30M impactos/dia,95,R$ 15.000,"Maior empresa de mídia OOH digital do Brasil. Presente em elevadores, metrôs, aeroportos, shoppings e mobiliário urbano.","[{""nome"":""Programática OOH"",""chave"":""iab-billboard"",""w"":970,""h"":250,""label"":""970×250"",""melhor_para"":""compra por praça, rede e formato com critérios de audiência"",""dispositivos"":[""ooh""]},{""nome"":""DOOH / inventário digital"",""chave"":""iab-billboard"",""w"":970,""h"":250,""label"":""DOOH"",""melhor_para"":""circuitos urbanos e ativações em telas digitais"",""dispositivos"":[""ooh""]},{""nome"":""Projetos especiais / campanhas customizadas"",""chave"":""iab-billboard"",""w"":970,""h"":250,""label"":""970×250"",""melhor_para"":""ações sob medida por circuito, praça ou contexto"",""dispositivos"":[""ooh""]},{""nome"":""DOOH"",""chave"":""iab-billboard"",""w"":970,""h"":250,""label"":""DOOH"",""melhor_para"":""circuito urbano"",""dispositivos"":[""ooh""]},{""nome"":""Takeover"",""chave"":""iab-billboard"",""w"":970,""h"":250,""label"":""970×250"",""melhor_para"":""estação e aeroporto"",""dispositivos"":[""ooh""]}]","[{""nome"":""Audiência"",""quando"":""quando a campanha precisa priorizar perfis de público e não apenas o ponto físico"",""exemplo"":""planejamento por critérios de audiência na operação programática""},{""nome"":""Contexto"",""quando"":""quando o anúncio depende do ambiente onde a pessoa está"",""exemplo"":""campanhas em varejo, transporte ou jornada urbana""},{""nome"":""Praça / geo"",""quando"":""quando a marca quer focar cidades, redes ou regiões específicas"",""exemplo"":""compra por praça, rede e formato na plataforma programática""},{""nome"":""Momento do dia / janela de campanha"",""quando"":""quando a marca quer impactar em horários ou períodos específicos"",""exemplo"":""ativação em janelas de campanha na mídia programática""},{""nome"":""Dados proprietários e externos"",""quando"":""quando a segmentação usa inteligência de dados combinada com sinais de audiência"",""exemplo"":""planejamento com dados proprietários e externos para identificar jornada diária""},{""nome"":""Território de interesse / contexto temático"",""quando"":""quando a campanha quer associar-se a ocasiões ou afinidades"",""exemplo"":""ativação em territórios como eventos musicais, futebol, esportes e varejo""}]","[""Maior inventário DOOH do Brasil"",""Presente em 25+ cidades"",""Audiência premium em elevadores classe AB"",""Integração programática com DSPs"",""Retargeting mobile cross-media""]"
2026-09-15T15:45:58+00:00,g1-globo,G1 / Globo.com,Portais,portal,+150M pageviews/mês,72,R$ 10.000,"O maior portal de notícias do Brasil, com cobertura nacional e regional. Referência em jornalismo digital.","[{""nome"":""Display"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""cobertura nacional"",""dispositivos"":[""desktop"",""mobile""]},{""nome"":""Native Ads"",""chave"":""iab-leaderboard"",""w"":728,""h"":90,""label"":""728×90"",""melhor_para"":""leitura no feed"",""dispositivos"":[""desktop"",""mobile""]},{""nome"":""Takeover"",""chave"":""iab-billboard"",""w"":970,""h"":250,""label"":""970×250"",""melhor_para"":""home de impacto"",""dispositivos"":[""desktop""]},{""nome"":""Video Ads"",""chave"":""ctv-16x9"",""w"":1920,""h"":1080,""label"":""16:9"",""melhor_para"":""player de notícia"",""dispositivos"":[""desktop"",""mobile""]},{""nome"":""Branded Content"",""chave"":""linkedin-landscape"",""w"":1200,""h"":627,""label"":""1.91:1"",""melhor_para"":""reportagem patrocinada"",""dispositivos"":[""desktop"",""mobile""]}]","[{""nome"":""Regional / Geográfica"",""quando"":""Quando a ação precisa atingir estados, capitais ou regiões específicas"",""exemplo"":""Promoção de varejo focada apenas em São Paulo e cidades da região metropolitana""},{""nome"":""Contextual / Editorial"",""quando"":""Quando a marca quer associar sua mensagem a seções ou temas jornalísticos (ex.: economia, esporte, saúde)"",""exemplo"":""Instituição financeira divulgando conteúdo em páginas da seção Economia""},{""nome"":""Interesse / Temática"",""quando"":""Quando a campanha mira públicos por afinidade de interesse (tecnologia, lifestyle, automobilismo, etc.)"",""exemplo"":""Marca de eletrônicos anunciando para leitores frequentes de tecnologia""},{""nome"":""Demográfica"",""quando"":""Quando há foco em atributos como faixa etária, gênero ou perfil socioeconômico"",""exemplo"":""Lançamento de curso voltado a adultos jovens e profissionais em início de carreira""},{""nome"":""Dispositivo / Plataforma"",""quando"":""Quando criativos ou experiência são otimizados para mobile ou desktop"",""exemplo"":""Ofertas exclusivas via mobile app ou mobile web""},{""nome"":""Comportamental / Retargeting & CRM"",""quando"":""Quando se quer alcançar usuários que já interagiram com a marca ou site (retargeting) ou usar base própria de clientes"",""exemplo"":""Campanha de retargeting para visitantes que visualizaram páginas de produto recentemente""}]","[""Maior audiência de notícias do Brasil"",""Cobertura regional em todos os estados"",""Credibilidade jornalística"",""Formatos de alto impacto (Takeover)""]"
2026-09-15T15:45:58+00:00,ge-globo-esporte,GE (Globo Esporte),Portais,portal,+120M pageviews/mês,74,R$ 25.000,"O maior portal de esportes do Brasil, cobrindo futebol, olimpíadas, automobilismo e mais.","[{""nome"":""Mídia Display (banners)"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""cobertura contínua em páginas de notícias, placares e editorias de clubes"",""dispositivos"":[""desktop"",""mobile""]},{""nome"":""Billboard / topo de página"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""presença de impacto na home e em grandes coberturas (finais, clássicos, campeonatos)"",""dispositivos"":[""desktop""]},{""nome"":""Pré-roll em vídeo (Video Ad)"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""lances, highlights, vídeos de análise e quadros em VOD"",""dispositivos"":[""desktop"",""mobile""]},{""nome"":""Conteúdo patrocinado / Branded Content"",""chave"":""linkedin-landscape"",""w"":1200,""h"":627,""label"":""1.91:1"",""melhor_para"":""histórias de marca, ativações de campeonatos, conteúdos especiais com alta contextualização esportiva"",""dispositivos"":[""desktop"",""mobile""]},{""nome"":""Patrocínio de editorias / seções"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""domínio de temas específicos como futebol, tênis, esportes a motor e editorias regionais"",""dispositivos"":[""desktop"",""mobile""]},{""nome"":""Soluções multiplataforma GE / GE TV"",""chave"":""iab-medium"",""w"":300,""h"":250,""label"":""300×250"",""melhor_para"":""projetos 360º que integram portal ge, transmissões ao vivo, VOD, videocasts e redes sociais"",""dispositivos"":[""desktop"",""mobile"",""ctv"",""app""]}]","[{""nome"":""Torcedores por time de futebol"",""quando"":""campanhas associadas a clubes específicos em campeonatos nacionais e internacionais"",""exemplo"":""Campanha focada em páginas e conteúdos do ge sobre um clube da Série A durante o Brasileirão, explorando a comunidade de torcedores daquele time.[1][2]""},{""nome"":""Editorias de modalidades esportivas"",""quando"":""marcas que querem falar com fãs de esportes específicos além do futebol"",""exemplo"":""Ativação na editoria de tênis do ge, com formatos no portal, YouTube e Globoplay contextualizados ao circuito de tênis.[5]""},{""nome"":""Conteúdo ao vivo e pós-jogo"",""quando"":""momentos de pico de audiência em transmissões, lives, cortes e highlights"",""exemplo"":""Patrocínio de transmissões e conteúdos pós-corrida em Esportes a Motor, com presença em momentos de maior audiência.[14][3]""},{""nome"":""Esportes a motor"",""quando"":""campanhas ligadas a automobilismo e competições de alto desempenho"",""exemplo"":""Patrocínio de coberturas de Fórmula 1 com dashbanners fixos nas corridas e vídeos in-stream integrados à linha do tempo dos ídolos.[14]""},{""nome"":""Fantasy game Cartola (fãs de futebol altamente engajados)"",""quando"":""estratégias voltadas a usuários que acompanham jogos, escalações e estatísticas em tempo real"",""exemplo"":""Campanha no Cartola integrada ao ge, atingindo milhões de jogadores do maior fantasy game de futebol do Brasil.[1]""},{""nome"":""Social Globo + Creators (influenciadores de esporte)"",""quando"":""campanhas que precisam de engajamento em redes sociais com criadores do universo esportivo"",""exemplo"":""Ação com influenciadores conectada a conteúdos do ge e redes sociais para ampliar alcance em torcedores jovens.[1]""},{""nome"":""Contexto de grandes eventos esportivos"",""quando"":""períodos de torneios como Libertadores, campeonatos nacionais, ligas internacionais e olimpíadas"",""exemplo"":""Projeto GE 360º com presença em portal ge, GE TV e redes sociais durante fases decisivas da Libertadores.[3][2]""},{""nome"":""Editorias regionais e afiliadas"",""quando"":""marcas com foco em mercados locais ou regionais"",""exemplo"":""Patrocínio de página do ge de uma afiliada (como TV Vanguarda), com presença em home e vídeos regionais.[7][10]""}]","[""Maior audiência esportiva do Brasil"",""Cobertura de todos os campeonatos"",""Picos de audiência em jogos ao vivo"",""Segmentação por time de futebol""]"
2026-09-15T15:45:58+00:00,globoplay,Globoplay,Streaming,ctv,+25M assinantes,98,R$ 30.000,"Principal plataforma de streaming brasileira com conteúdo exclusivo Globo, novelas, séries e jornalismo.","[{""nome"":""Video Ads"",""chave"":""ctv-16x9"",""w"":1920,""h"":1080,""label"":""16:9"",""melhor_para"":""novela e jornal"",""dispositivos"":[""ctv"",""mobile""]},{""nome"":""Pre-roll"",""chave"":""ctv-16x9"",""w"":1920,""h"":1080,""label"":""Pre-roll"",""melhor_para"":""abertura de capítulo"",""dispositivos"":[""ctv"",""mobile""]},{""nome"":""Mid-roll"",""chave"":""ctv-16x9"",""w"":1920,""h"":1080,""label"":""Mid-roll"",""melhor_para"":""intervalo de jornal"",""dispositivos"":[""ctv""]}]","[{""nome"":""Novelas"",""quando"":""Lançamento de capítulos e episódios com alta retenção"",""exemplo"":""Veicular Video Ads ou Pre-roll alinhados à estreia de capítulos ou temporadas de novelas presentes na plataforma""},{""nome"":""Jornalismo e telejornais"",""quando"":""Blocos de notícias e coberturas jornalísticas de maior alcance"",""exemplo"":""Inserir Mid-roll ou Video Ads de curta duração durante intervalos de telejornais ou reportagens relevantes""},{""nome"":""Reality shows (ex.: BBB)"",""quando"":""Exibições semanais, recaps e conteúdos ao vivo relacionados ao reality"",""exemplo"":""Campanhas com Pre-roll e Pause Ads para aproveitar picos de audiência em episódios e conteúdos complementares""},{""nome"":""Eventos ao vivo"",""quando"":""Transmissões ao vivo (esportes, shows, eventos especiais)"",""exemplo"":""Utilizar Pre-roll e anúncios durante a transmissão ao vivo para alcance em tempo real e engajamento imediato""},{""nome"":""Audiência feminina"",""quando"":""Lançamentos de produtos/serviços com apelo principal ao público feminino"",""exemplo"":""Segmentação para público feminino (plataforma indica ~58% feminino) com criativos e mensagens otimizadas para esse perfil""},{""nome"":""CTV-first / tela grande"",""quando"":""Campanhas que priorizam experiência imersiva e storytelling em sala de estar"",""exemplo"":""Utilizar Video Ads 16:9 otimizados para CTV para maior impacto visual e recall de marca""}]","[""Conteúdo exclusivo brasileiro (novelas, BBB, séries)"",""Transmissão ao vivo de eventos"",""Integração com TV Globo"",""Audiência feminina forte (58%)""]"
2026-09-15T15:45:58+00:00,ifood,iFood,Mobilidade,mobile,+50M usuários BR,90,R$ 8.000,"App de delivery com o maior volume de pedidos do Brasil. Ideal para food, varejo e cupom no momento da fome.","[{""nome"":""Splash Screen"",""chave"":""story-9x16"",""w"":1080,""h"":1920,""label"":""9:16"",""melhor_para"":""abertura do pedido"",""dispositivos"":[""mobile"",""app""]},{""nome"":""In-App Ads"",""chave"":""feed-1x1"",""w"":1080,""h"":1080,""label"":""In-app"",""melhor_para"":""durante o fluxo"",""dispositivos"":[""mobile"",""app""]},{""nome"":""Push Notification"",""chave"":""iab-mobile"",""w"":320,""h"":50,""label"":""320×50"",""melhor_para"":""cupom e volta"",""dispositivos"":[""mobile"",""app""]}]","[{""nome"":""Momento da fome"",""quando"":""almoço e jantar"",""exemplo"":""11h–14h e 19h–22h""},{""nome"":""Ticket e categoria"",""quando"":""food vs mercado"",""exemplo"":""Pedido médio da praça""},{""nome"":""Praça e raio"",""quando"":""loja e dark kitchen"",""exemplo"":""3 km do PDV""},{""nome"":""Cupom no app"",""quando"":""conversão"",""exemplo"":""Primeira compra da semana""}]","[""Momento de fome e decisão de pedido"",""Público classe C forte"",""Cupom no app""]"
